Nodo_ID,Lat_Nodo,Lng_Nodo,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
33.98_-118.36,33.98,-118.36,0,1,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,3,2,1,0,0,1,3,0,0,2,0,2,0,0,0,0,2,0,3,2,0,0,0,0,1,3,2,4,3,1,1,8,1,2,16,3,1,0,3,1,6,1,0,0,4,0,0
33.98_-118.37,33.98,-118.37,0,2,2,1,1,1,0,1,0,2,0,1,2,0,0,0,0,0,0,1,1,2,0,1,0,2,0,0,1,3,3,0,0,1,0,0,1,0,0,0,1,0,2,1,0,2,5,1,2,0,1,0,1,0,0,3,0,0,6,1,1,1,1,2,4,0,0,3,1,5,1,7,2,4,4,7,3,2,0,2,2,2,3,0,0
33.98_-118.38,33.98,-118.38,3,5,4,10,2,4,6,5,5,7,1,2,6,5,5,7,3,6,8,6,6,1,3,7,6,4,3,7,6,9,4,5,5,2,2,2,4,2,3,3,6,4,17,14,6,13,14,14,8,3,0,8,1,1,2,5,1,1,6,3,6,3,4,4,5,5,5,2,4,6,2,7,1,0,7,4,2,4,2,5,0,0,2,4,0
33.98_-118.39,33.98,-118.39,1,11,8,6,4,12,9,7,10,9,4,9,7,6,8,10,6,5,7,10,10,5,4,3,7,2,4,9,8,5,8,3,4,7,3,3,4,12,6,3,6,6,11,2,3,7,7,12,2,0,2,2,1,1,8,5,6,8,9,6,7,2,6,2,7,10,7,10,12,19,7,18,5,15,6,6,1,8,9,11,3,9,12,6,2
33.98_-118.41,33.98,-118.41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0
33.98_-118.42,33.98,-118.42,1,0,2,0,0,1,0,1,0,0,0,3,2,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0,3,1,0,0,1,1,1,0,1,3,1,0,2,1,0,3,2,0,0,4,0,2,2,2,1,0,0,3,1,2,4,0,0,0,0,0,2,2,0,0,1,2,0,2,0,2,0,0,1,4,0,0,2,0,5,0,0
33.98_-118.43,33.98,-118.43,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0
33.99_-118.13,33.99,-118.13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,2,2,0,0,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1,1,2,1,0,3,1,1,2,1,1
33.99_-118.14,33.99,-118.14,1,7,6,10,13,10,11,9,10,3,3,3,11,6,5,7,6,7,7,2,5,6,5,10,0,6,7,11,5,9,4,5,3,3,4,3,6,8,2,8,7,2,18,30,13,18,19,11,10,7,7,4,2,3,14,22,48,15,8,15,9,8,11,10,9,10,6,21,14,6,14,17,11,16,14,13,12,19,11,13,8,16,15,4,6
33.99_-118.18,33.99,-118.18,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,2,0,2,0,1,2,1,1,0,1,1,2,0,2,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,3,2,1,2,0,1,1,1,0,0
